year,material,commodity,origin_region,destination_region,flow_kt
1997,nickel,refined_metal,EU27,EU27,76593.17355
1997,nickel,refined_metal,EU27,RoW,31565.32145
1997,nickel,refined_metal,RoW,China,4285.664699999999
1997,nickel,refined_metal,RoW,EU27,227533.67429999998
1997,nickel,refined_metal,RoW,RoW,497899.58330000006
1997,nickel,scrap,China,China,0.0
1997,nickel,scrap,China,EU27,103.44800000000001
1997,nickel,scrap,China,RoW,767.33
1997,nickel,scrap,EU27,China,3.0
1997,nickel,scrap,EU27,EU27,18455.074
1997,nickel,scrap,EU27,RoW,11833.751
1997,nickel,scrap,RoW,China,497.214
1997,nickel,scrap,RoW,EU27,22338.925000000003
1997,nickel,scrap,RoW,RoW,159668.53
1997,tin,concentrates,China,China,0.0
1997,tin,concentrates,China,EU27,102.0
1997,tin,concentrates,China,RoW,3030.562
1997,tin,concentrates,EU27,China,0.0
1997,tin,concentrates,EU27,EU27,187.878
1997,tin,concentrates,EU27,RoW,8681.413
1997,tin,concentrates,RoW,China,632.1
1997,tin,concentrates,RoW,EU27,2212.711
1997,tin,concentrates,RoW,RoW,82258.75700000001
1997,tin,refined_metal,China,China,0.0
1997,tin,refined_metal,China,EU27,19241.326
1997,tin,refined_metal,China,RoW,28774.892
1997,tin,refined_metal,EU27,China,74.444
1997,tin,refined_metal,EU27,EU27,17197.368
1997,tin,refined_metal,EU27,RoW,8910.117
1997,tin,refined_metal,RoW,China,9553.651
1997,tin,refined_metal,RoW,EU27,44842.414000000004
1997,tin,refined_metal,RoW,RoW,198431.706
1997,tin,scrap,China,China,0.0
1997,tin,scrap,China,EU27,0.0
1997,tin,scrap,China,RoW,144.159
1997,tin,scrap,EU27,China,0.0
1997,tin,scrap,EU27,EU27,3584.51
1997,tin,scrap,EU27,RoW,643.569
1997,tin,scrap,RoW,China,435.343
1997,tin,scrap,RoW,EU27,1532.724
1997,tin,scrap,RoW,RoW,14738.619999999999
1997,zinc,concentrates,China,China,0.0
1997,zinc,concentrates,China,EU27,78426.7909
1997,zinc,concentrates,China,RoW,332377.0685
1997,zinc,concentrates,EU27,China,13.5288
1997,zinc,concentrates,EU27,EU27,2112898.4824
1997,zinc,concentrates,EU27,RoW,262142.6591
1997,zinc,concentrates,RoW,China,218403.82749999998
1997,zinc,concentrates,RoW,EU27,2753921.0374
1997,zinc,concentrates,RoW,RoW,2899493.6223
1997,zinc,refined_metal,China,China,0.0
1997,zinc,refined_metal,China,EU27,14097.609100000001
1997,zinc,refined_metal,China,RoW,625304.407
1997,zinc,refined_metal,EU27,China,495.4412
1997,zinc,refined_metal,EU27,EU27,947831.2121000001
1997,zinc,refined_metal,EU27,RoW,503556.3314
1997,zinc,refined_metal,RoW,China,11110.4925
1997,zinc,refined_metal,RoW,EU27,369430.6416
1997,zinc,refined_metal,RoW,RoW,1728412.6676999999
1997,zinc,scrap,China,China,0.0
1997,zinc,scrap,China,EU27,72.311
1997,zinc,scrap,China,RoW,1996.2275000000002
1997,zinc,scrap,EU27,China,9606.878
1997,zinc,scrap,EU27,EU27,268964.0305
1997,zinc,scrap,EU27,RoW,163282.1425
1997,zinc,scrap,RoW,China,12545.228000000001
1997,zinc,scrap,RoW,EU27,42001.746
1997,zinc,scrap,RoW,RoW,163414.45799999998
1998,nickel,concentrates,China,China,0.0
1998,nickel,concentrates,China,EU27,0.0
1998,nickel,concentrates,China,RoW,66.50925
1998,nickel,concentrates,EU27,China,0.0597
1998,nickel,concentrates,EU27,EU27,2275.1935999999996
1998,nickel,concentrates,EU27,RoW,72199.37640000001
1998,nickel,concentrates,RoW,China,2000.0757999999998
1998,nickel,concentrates,RoW,EU27,263886.77719999995
1998,nickel,concentrates,RoW,RoW,5680638.3093
1998,nickel,refined_metal,China,China,0.0
1998,nickel,refined_metal,China,EU27,35.952
1998,nickel,refined_metal,China,RoW,12349.63275
1998,nickel,refined_metal,EU27,China,216.8493
1998,nickel,refined_metal,EU27,EU27,87697.4904
1998,nickel,refined_metal,EU27,RoW,25734.881599999997
1998,nickel,refined_metal,RoW,China,8002.9822
1998,nickel,refined_metal,RoW,EU27,267892.8228
1998,nickel,refined_metal,RoW,RoW,522158.0337
1998,nickel,scrap,China,China,0.0
1998,nickel,scrap,China,EU27,1.0
1998,nickel,scrap,China,RoW,756.6320000000001
1998,nickel,scrap,EU27,China,4.398
1998,nickel,scrap,EU27,EU27,17886.309999999998
1998,nickel,scrap,EU27,RoW,8633.949
1998,nickel,scrap,RoW,China,342.479
1998,nickel,scrap,RoW,EU27,19339.421000000002
1998,nickel,scrap,RoW,RoW,94962.94
1998,tin,concentrates,China,China,0.0
1998,tin,concentrates,China,EU27,0.0
1998,tin,concentrates,China,RoW,515.812
1998,tin,concentrates,EU27,China,0.0
1998,tin,concentrates,EU27,EU27,8489.778
1998,tin,concentrates,EU27,RoW,7373.4619999999995
1998,tin,concentrates,RoW,China,623.615
1998,tin,concentrates,RoW,EU27,2551.4610000000002
1998,tin,concentrates,RoW,RoW,54828.976
1998,tin,refined_metal,China,China,0.0
1998,tin,refined_metal,China,EU27,24047.144
1998,tin,refined_metal,China,RoW,45288.904
1998,tin,refined_metal,EU27,China,68.757
1998,tin,refined_metal,EU27,EU27,21347.992
1998,tin,refined_metal,EU27,RoW,5069.505
1998,tin,refined_metal,RoW,China,9404.151
1998,tin,refined_metal,RoW,EU27,41685.934
1998,tin,refined_metal,RoW,RoW,177685.147
1998,tin,scrap,China,China,0.0
1998,tin,scrap,China,EU27,350.823
1998,tin,scrap,China,RoW,123.33099999999999
1998,tin,scrap,EU27,China,0.0
1998,tin,scrap,EU27,EU27,4276.27
1998,tin,scrap,EU27,RoW,775.9290000000001
1998,tin,scrap,RoW,China,894.847
1998,tin,scrap,RoW,EU27,2932.345
1998,tin,scrap,RoW,RoW,16996.101000000002
1998,zinc,concentrates,China,China,0.0
1998,zinc,concentrates,China,EU27,37637.4556
1998,zinc,concentrates,China,RoW,189733.3429
1998,zinc,concentrates,EU27,China,11.122200000000001
1998,zinc,concentrates,EU27,EU27,1475480.3322
1998,zinc,concentrates,EU27,RoW,228869.3219
1998,zinc,concentrates,RoW,China,61468.674
1998,zinc,concentrates,RoW,EU27,2870846.6223
1998,zinc,concentrates,RoW,RoW,3196004.2579
