mode,year,material,commodity,destination_region,origin_region,share_origin_frac
constrained,1998,nickel,concentrates,RoW,RoW,0.988674971638319
constrained,1998,nickel,refined_metal,China,China,0.0
constrained,1998,nickel,refined_metal,China,EU27,0.02304561665502355
constrained,1998,nickel,refined_metal,China,RoW,0.9769543833449764
constrained,1998,nickel,refined_metal,EU27,China,0.0023377636966149334
constrained,1998,nickel,refined_metal,EU27,EU27,0.24387815188444795
constrained,1998,nickel,refined_metal,EU27,RoW,0.7537840844189371
constrained,1998,nickel,refined_metal,RoW,China,0.014324198036057566
constrained,1998,nickel,refined_metal,RoW,EU27,0.05334479463127293
constrained,1998,nickel,refined_metal,RoW,RoW,0.9323310073326695
constrained,1998,nickel,scrap,China,China,0.0
constrained,1998,nickel,scrap,China,EU27,0.00982677280100742
constrained,1998,nickel,scrap,China,RoW,0.9901732271989926
constrained,1998,nickel,scrap,EU27,China,0.0007345092793797545
constrained,1998,nickel,scrap,EU27,EU27,0.42494003223153687
constrained,1998,nickel,scrap,EU27,RoW,0.5743254584890833
constrained,1998,nickel,scrap,RoW,China,0.006998217344669435
constrained,1998,nickel,scrap,RoW,EU27,0.1025563866457017
constrained,1998,nickel,scrap,RoW,RoW,0.8904453960096288
constrained,1998,tin,concentrates,China,China,0.0
constrained,1998,tin,concentrates,China,EU27,0.0
constrained,1998,tin,concentrates,China,RoW,1.0
constrained,1998,tin,concentrates,EU27,China,0.000556911734725924
constrained,1998,tin,concentrates,EU27,EU27,0.2604686255198705
constrained,1998,tin,concentrates,EU27,RoW,0.7389744627454037
constrained,1998,tin,concentrates,RoW,China,0.008449302358546145
constrained,1998,tin,concentrates,RoW,EU27,0.17161745427741307
constrained,1998,tin,concentrates,RoW,RoW,0.8199332433640408
constrained,1998,tin,refined_metal,China,China,0.0
constrained,1998,tin,refined_metal,China,EU27,0.006572592607812504
constrained,1998,tin,refined_metal,China,RoW,0.9934274073921875
constrained,1998,tin,refined_metal,EU27,China,0.2953010550858551
constrained,1998,tin,refined_metal,EU27,EU27,0.2292898102435414
constrained,1998,tin,refined_metal,EU27,RoW,0.47540913467060353
constrained,1998,tin,refined_metal,RoW,China,0.18440805709122846
constrained,1998,tin,refined_metal,RoW,EU27,0.028288479496358744
constrained,1998,tin,refined_metal,RoW,RoW,0.7873034634124128
constrained,1998,tin,scrap,China,China,0.0
constrained,1998,tin,scrap,China,EU27,0.0
constrained,1998,tin,scrap,China,RoW,1.0
constrained,1998,tin,scrap,EU27,China,0.010216010656033335
constrained,1998,tin,scrap,EU27,EU27,0.6139511413363684
constrained,1998,tin,scrap,EU27,RoW,0.3758328480075983
constrained,1998,tin,scrap,RoW,China,0.00859533156831778
constrained,1998,tin,scrap,RoW,EU27,0.037700569470586615
constrained,1998,tin,scrap,RoW,RoW,0.9537040989610955
constrained,1998,zinc,concentrates,China,China,0.0
constrained,1998,zinc,concentrates,China,EU27,4.878382571087811e-05
constrained,1998,zinc,concentrates,China,RoW,0.9999512161742892
constrained,1998,zinc,concentrates,EU27,China,0.007122622903868626
constrained,1998,zinc,concentrates,EU27,EU27,0.3433144915240748
constrained,1998,zinc,concentrates,EU27,RoW,0.6495628855720565
constrained,1998,zinc,concentrates,RoW,China,0.056597635362926
constrained,1998,zinc,concentrates,RoW,EU27,0.05750185043504275
constrained,1998,zinc,concentrates,RoW,RoW,0.8859005142020313
constrained,1998,zinc,refined_metal,China,China,0.0
constrained,1998,zinc,refined_metal,China,EU27,0.05694344136895202
constrained,1998,zinc,refined_metal,China,RoW,0.943056558631048
constrained,1998,zinc,refined_metal,EU27,China,0.024001186597772006
constrained,1998,zinc,refined_metal,EU27,EU27,0.6465711766915253
constrained,1998,zinc,refined_metal,EU27,RoW,0.32942763671070274
constrained,1998,zinc,refined_metal,RoW,China,0.19181047036646776
constrained,1998,zinc,refined_metal,RoW,EU27,0.15702987158999834
constrained,1998,zinc,refined_metal,RoW,RoW,0.6511596580435338
constrained,1998,zinc,scrap,China,China,0.0
constrained,1998,zinc,scrap,China,EU27,0.2650267704995916
constrained,1998,zinc,scrap,China,RoW,0.7349732295004083
constrained,1998,zinc,scrap,EU27,China,0.00171784384191223
constrained,1998,zinc,scrap,EU27,EU27,0.8240094624443451
constrained,1998,zinc,scrap,EU27,RoW,0.1742726937137428
constrained,1998,zinc,scrap,RoW,China,0.020880575966719588
constrained,1998,zinc,scrap,RoW,EU27,0.37919822601136555
constrained,1998,zinc,scrap,RoW,RoW,0.5999211980219148
constrained,1999,nickel,concentrates,China,China,0.0
constrained,1999,nickel,concentrates,China,EU27,0.002520522642474561
constrained,1999,nickel,concentrates,China,RoW,0.9974794773575254
constrained,1999,nickel,concentrates,EU27,China,0.0
constrained,1999,nickel,concentrates,EU27,EU27,0.005216155023038578
constrained,1999,nickel,concentrates,EU27,RoW,0.9947838449769614
constrained,1999,nickel,concentrates,RoW,China,8.39529079077907e-05
constrained,1999,nickel,concentrates,RoW,EU27,0.0027767297656667474
constrained,1999,nickel,concentrates,RoW,RoW,0.9971393173264256
constrained,1999,nickel,refined_metal,China,China,0.0
constrained,1999,nickel,refined_metal,China,EU27,0.04005853578099049
constrained,1999,nickel,refined_metal,China,RoW,0.9599414642190094
constrained,1999,nickel,refined_metal,EU27,China,0.00015993458293875855
constrained,1999,nickel,refined_metal,EU27,EU27,0.24473923472743764
constrained,1999,nickel,refined_metal,EU27,RoW,0.7551008306896236
constrained,1999,nickel,refined_metal,RoW,China,0.02158339199955962
constrained,1999,nickel,refined_metal,RoW,EU27,0.04959020562570006
constrained,1999,nickel,refined_metal,RoW,RoW,0.9288264023747403
constrained,1999,nickel,scrap,China,China,0.0
constrained,1999,nickel,scrap,China,EU27,0.02101006570366238
constrained,1999,nickel,scrap,China,RoW,0.9789899342963376
constrained,1999,nickel,scrap,EU27,China,0.0009463406590227666
constrained,1999,nickel,scrap,EU27,EU27,0.5604472121020172
constrained,1999,nickel,scrap,EU27,RoW,0.4386064472389601
constrained,1999,nickel,scrap,RoW,China,0.0064113301498165435
constrained,1999,nickel,scrap,RoW,EU27,0.11144214543099962
constrained,1999,nickel,scrap,RoW,RoW,0.8821465244191838
constrained,1999,tin,concentrates,China,China,0.0
constrained,1999,tin,concentrates,China,EU27,0.0002568151870758605
constrained,1999,tin,concentrates,China,RoW,0.9997431848129241
constrained,1999,tin,concentrates,EU27,China,0.013173943694545743
constrained,1999,tin,concentrates,EU27,EU27,0.29628864447180764
constrained,1999,tin,concentrates,EU27,RoW,0.6905374118336466
constrained,1999,tin,concentrates,RoW,China,0.031691204351863865
constrained,1999,tin,concentrates,RoW,EU27,0.05263432293718837
constrained,1999,tin,concentrates,RoW,RoW,0.9156744727109477
constrained,1999,tin,refined_metal,China,China,0.0
constrained,1999,tin,refined_metal,China,EU27,0.00953370475009352
constrained,1999,tin,refined_metal,China,RoW,0.9904662952499064
constrained,1999,tin,refined_metal,EU27,China,0.3138134886395061
constrained,1999,tin,refined_metal,EU27,EU27,0.2164593002939296
constrained,1999,tin,refined_metal,EU27,RoW,0.4697272110665643
constrained,1999,tin,refined_metal,RoW,China,0.19260590640028466
constrained,1999,tin,refined_metal,RoW,EU27,0.04258035437342434
constrained,1999,tin,refined_metal,RoW,RoW,0.764813739226291
constrained,1999,tin,scrap,China,China,0.0
constrained,1999,tin,scrap,China,EU27,0.0
constrained,1999,tin,scrap,China,RoW,1.0
constrained,1999,tin,scrap,EU27,China,0.0341554065795323
constrained,1999,tin,scrap,EU27,EU27,0.5936741961604689
constrained,1999,tin,scrap,EU27,RoW,0.3721703972599987
constrained,1999,tin,scrap,RoW,China,0.008252043275790402
