year,material,commodity,region,supply_avail_kt,import_need_kt,export_cap_raw_kt,exportable_kt
2001,tin,refined_metal,China,74890.06599999999,12136.506000000001,74890.06599999999,74890.06599999999
2001,tin,refined_metal,EU27,22147.542,93339.273,26486.254,22147.542
2001,tin,refined_metal,RoW,219437.99300000002,210999.82200000001,235995.948,219437.99300000002
2001,tin,scrap,China,197.18699999999998,1141.158,704.479,197.18699999999998
2001,tin,scrap,EU27,7355.619000000001,9166.332,7355.619000000001,7355.619000000001
2001,tin,scrap,RoW,39223.683999999994,36469.0,39223.683999999994,39223.683999999994
2001,zinc,concentrates,China,21908.519900000003,670827.734,248678.30109999998,21908.519900000003
2001,zinc,concentrates,EU27,1720651.7539999997,4120133.8465,1720651.7539999997,1720651.7539999997
2001,zinc,concentrates,RoW,7620620.2779,4572218.971299999,6452980.120200001,6452980.120200001
2001,zinc,refined_metal,China,649194.6521,25034.414999999997,649194.6521,649194.6521
2001,zinc,refined_metal,EU27,1366113.902,1622728.7179999999,1366113.902,1366113.902
2001,zinc,refined_metal,RoW,2475190.6316,2842736.0527,2475190.6316,2475190.6316
2001,zinc,scrap,China,2638.781,65093.017,10731.4665,2638.781
2001,zinc,scrap,EU27,346595.90300000005,280994.6005,348172.19,346595.90300000005
2001,zinc,scrap,RoW,236610.92349999998,239757.99,262735.333,236610.92349999998
2002,nickel,concentrates,China,333.66104999999993,15198.683500000001,333.66104999999993,333.66104999999993
2002,nickel,concentrates,EU27,33038.330449999994,214478.28255,43183.0482,33038.330449999994
2002,nickel,concentrates,RoW,6932431.03455,6736126.0600000005,7574007.5704499995,6932431.03455
2002,nickel,refined_metal,China,3293.99295,42018.249500000005,12385.58475,3293.99295
2002,nickel,refined_metal,EU27,135500.64655,556387.3094500001,135500.64655,135500.64655
2002,nickel,refined_metal,RoW,1054504.27745,594893.358,995938.1115499999,995938.1115499999
2002,nickel,scrap,China,474.977,917.696,1202.378,474.977
2002,nickel,scrap,EU27,39091.755,44227.631,40038.748999999996,39091.755
2002,nickel,scrap,RoW,202304.92700000003,196726.33200000002,130042.89100000002,130042.89100000002
2002,tin,concentrates,China,1142.477,3599.2580000000003,3438.533,1142.477
2002,tin,concentrates,EU27,3137.399,1761.3539999999998,15817.754,3137.399
2002,tin,concentrates,RoW,65289.187,64208.451,100963.34599999999,65289.187
2002,tin,refined_metal,China,56056.454000000005,12296.509,74890.06599999999,56056.454000000005
2002,tin,refined_metal,EU27,23797.519,224610.50699999998,26486.254,23797.519
2002,tin,refined_metal,RoW,418930.681,261877.638,235995.948,235995.948
2002,tin,scrap,China,82.587,981.428,704.479,82.587
2002,tin,scrap,EU27,8650.287,12364.369999999999,7994.767,7994.767
2002,tin,scrap,RoW,38244.77099999999,33631.846999999994,39223.683999999994,38244.77099999999
