year,material,commodity,origin_region,destination_region,flow_kt
1997,nickel,concentrates,RoW,EU27,214318.26691046797
1997,nickel,concentrates,RoW,RoW,6007132.985726977
1997,nickel,refined_metal,China,China,0.0
1997,nickel,refined_metal,China,EU27,587.046471020422
1997,nickel,refined_metal,China,RoW,6367.892278979577
1997,nickel,refined_metal,EU27,China,104.47564051228946
1997,nickel,refined_metal,EU27,EU27,64296.08359963372
1997,nickel,refined_metal,EU27,RoW,33267.21678485399
1997,nickel,refined_metal,RoW,China,4540.682859487711
1997,nickel,refined_metal,RoW,EU27,228453.15700434582
1997,nickel,refined_metal,RoW,RoW,496725.08243616647
1997,nickel,scrap,China,China,0.0
1997,nickel,scrap,China,EU27,32.124913307537234
1997,nickel,scrap,China,RoW,801.7310866924628
1997,nickel,scrap,EU27,China,1.9698323459895697
1997,nickel,scrap,EU27,EU27,16527.990010911948
1997,nickel,scrap,EU27,RoW,13761.865156742064
1997,nickel,scrap,RoW,China,498.2441676540104
1997,nickel,scrap,RoW,EU27,24337.332075780512
1997,nickel,scrap,RoW,RoW,102856.10575656548
1997,tin,concentrates,China,China,0.0
1997,tin,concentrates,China,EU27,7.91529841045375
1997,tin,concentrates,China,RoW,3123.6409021468066
1997,tin,concentrates,EU27,China,0.0
1997,tin,concentrates,EU27,EU27,116.66499484254717
1997,tin,concentrates,EU27,RoW,8737.80134780217
1997,tin,concentrates,RoW,China,315.24674557101514
1997,tin,concentrates,RoW,EU27,2378.008706746999
1997,tin,concentrates,RoW,RoW,82109.28975005104
1997,tin,refined_metal,China,China,0.0
1997,tin,refined_metal,China,EU27,17646.935154665454
1997,tin,refined_metal,China,RoW,30369.28284533455
1997,tin,refined_metal,EU27,China,44.75675523861482
1997,tin,refined_metal,EU27,EU27,18892.649090049603
1997,tin,refined_metal,EU27,RoW,6713.35615471178
1997,tin,refined_metal,RoW,China,8292.865931492626
1997,tin,refined_metal,RoW,EU27,43488.530838798055
1997,tin,refined_metal,RoW,RoW,192326.84972970933
1997,tin,scrap,China,China,0.0
1997,tin,scrap,China,EU27,5.3383308959639235
1997,tin,scrap,China,RoW,105.81166910403608
1997,tin,scrap,EU27,China,29.26891605912807
1997,tin,scrap,EU27,EU27,3689.6898868969
1997,tin,scrap,EU27,RoW,509.12019704397187
1997,tin,scrap,RoW,China,406.07408394087196
1997,tin,scrap,RoW,EU27,1389.1967822071365
1997,tin,scrap,RoW,RoW,14911.41613385199
1997,zinc,concentrates,China,China,0.0
1997,zinc,concentrates,China,EU27,36604.104524553935
1997,zinc,concentrates,China,RoW,273487.1765754461
1997,zinc,concentrates,EU27,China,22.573840336317517
1997,zinc,concentrates,EU27,EU27,1902307.765387319
1997,zinc,concentrates,EU27,RoW,325898.2155223449
1997,zinc,concentrates,RoW,China,206296.99186675576
1997,zinc,concentrates,RoW,EU27,2770893.5375310346
1997,zinc,concentrates,RoW,RoW,2894627.9578022086
1997,zinc,refined_metal,China,China,0.0
1997,zinc,refined_metal,China,EU27,11334.230188598516
1997,zinc,refined_metal,China,RoW,451581.62121140154
1997,zinc,refined_metal,EU27,China,542.0388241426378
1997,zinc,refined_metal,EU27,EU27,949765.1649439576
1997,zinc,refined_metal,EU27,RoW,489311.22198189964
1997,zinc,refined_metal,RoW,China,11063.894875857362
1997,zinc,refined_metal,RoW,EU27,334157.4024496294
1997,zinc,refined_metal,RoW,RoW,1666926.6809245131
1997,zinc,scrap,China,China,0.0
1997,zinc,scrap,China,EU27,33.671085501796775
1997,zinc,scrap,China,RoW,2034.8674144982033
1997,zinc,scrap,EU27,China,9260.521360672285
1997,zinc,scrap,EU27,EU27,233760.40321631156
1997,zinc,scrap,EU27,RoW,130252.67242301616
1997,zinc,scrap,RoW,China,12891.584639327715
1997,zinc,scrap,RoW,EU27,39032.513731614905
1997,zinc,scrap,RoW,RoW,166037.33362905734
1998,nickel,concentrates,China,China,0.0
1998,nickel,concentrates,China,EU27,0.0
1998,nickel,concentrates,China,RoW,66.36067421007985
1998,nickel,concentrates,EU27,China,21.30017891601289
1998,nickel,concentrates,EU27,EU27,3446.172323470172
1998,nickel,concentrates,EU27,RoW,65085.44249563227
1998,nickel,concentrates,RoW,China,1978.835321083987
1998,nickel,concentrates,RoW,EU27,255600.09483859217
1998,nickel,concentrates,RoW,RoW,5687752.391780158
1998,nickel,refined_metal,China,China,0.0
1998,nickel,refined_metal,China,EU27,764.2300435063007
1998,nickel,refined_metal,China,RoW,8025.0252064936985
1998,nickel,refined_metal,EU27,China,189.4310857178872
1998,nickel,refined_metal,EU27,EU27,79725.3421698538
1998,nickel,refined_metal,EU27,RoW,29886.023669428312
1998,nickel,refined_metal,RoW,China,8030.400414282113
