year,material,region,value
1920,zinc,RoW,
1920,nickel,EU27,
1920,nickel,China,
1920,nickel,RoW,
1921,tin,EU27,
1921,tin,China,
1921,tin,RoW,
1921,zinc,EU27,
1921,zinc,China,
1921,zinc,RoW,
1921,nickel,EU27,
1921,nickel,China,
1921,nickel,RoW,
1922,tin,EU27,
1922,tin,China,
1922,tin,RoW,
1922,zinc,EU27,
1922,zinc,China,
1922,zinc,RoW,
1922,nickel,EU27,
1922,nickel,China,
1922,nickel,RoW,
1923,tin,EU27,
1923,tin,China,
1923,tin,RoW,
1923,zinc,EU27,
1923,zinc,China,
1923,zinc,RoW,
1923,nickel,EU27,
1923,nickel,China,
1923,nickel,RoW,
1924,tin,EU27,
1924,tin,China,
1924,tin,RoW,
1924,zinc,EU27,
1924,zinc,China,
1924,zinc,RoW,
1924,nickel,EU27,
1924,nickel,China,
1924,nickel,RoW,
1925,tin,EU27,
1925,tin,China,
1925,tin,RoW,
1925,zinc,EU27,
1925,zinc,China,
1925,zinc,RoW,
1925,nickel,EU27,
1925,nickel,China,
1925,nickel,RoW,
1926,tin,EU27,
1926,tin,China,
1926,tin,RoW,
1926,zinc,EU27,
1926,zinc,China,
1926,zinc,RoW,
1926,nickel,EU27,
1926,nickel,China,
1926,nickel,RoW,
1927,tin,EU27,
1927,tin,China,
1927,tin,RoW,
1927,zinc,EU27,
1927,zinc,China,
1927,zinc,RoW,
1927,nickel,EU27,
1927,nickel,China,
1927,nickel,RoW,
1928,tin,EU27,
1928,tin,China,
1928,tin,RoW,
1928,zinc,EU27,
1928,zinc,China,
1928,zinc,RoW,
1928,nickel,EU27,
1928,nickel,China,
1928,nickel,RoW,
1929,tin,EU27,
1929,tin,China,
1929,tin,RoW,
1929,zinc,EU27,
1929,zinc,China,
1929,zinc,RoW,
1929,nickel,EU27,
1929,nickel,China,
1929,nickel,RoW,
1930,tin,EU27,
1930,tin,China,
1930,tin,RoW,
1930,zinc,EU27,
1930,zinc,China,
1930,zinc,RoW,
1930,nickel,EU27,
1930,nickel,China,
1930,nickel,RoW,
1931,tin,EU27,
1931,tin,China,
1931,tin,RoW,
1931,zinc,EU27,
1931,zinc,China,
1931,zinc,RoW,
1931,nickel,EU27,
1931,nickel,China,
1931,nickel,RoW,
1932,tin,EU27,
1932,tin,China,
1932,tin,RoW,
1932,zinc,EU27,
1932,zinc,China,
1932,zinc,RoW,
1932,nickel,EU27,
1932,nickel,China,
1932,nickel,RoW,
1933,tin,EU27,
1933,tin,China,
1933,tin,RoW,
1933,zinc,EU27,
1933,zinc,China,
1933,zinc,RoW,
1933,nickel,EU27,
1933,nickel,China,
1933,nickel,RoW,
1934,tin,EU27,
