year,material,region,extraction_yield,beneficiation_yield,refining_yield,sorting_yield,extraction_loss_to_sysenv_share,beneficiation_loss_to_sysenv_share,refining_loss_to_sysenv_share,sorting_reject_to_disposal_share,sorting_reject_to_sysenv_share
2058,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2059,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2060,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2061,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2062,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2063,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2064,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2065,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2066,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2067,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2068,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2069,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2070,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2071,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2072,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2073,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2074,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2075,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2076,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2077,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2078,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2079,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2080,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2081,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2082,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2083,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2084,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2085,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2086,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2087,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2088,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2089,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
2090,nickel,China,0.0081144684020903,0.8593000000000001,0.968,0.99,0.9913465807005492,0.684,0.5525,0.98,0.02
