year,material,region,extraction_yield,beneficiation_yield,refining_yield,sorting_yield,extraction_loss_to_sysenv_share,beneficiation_loss_to_sysenv_share,refining_loss_to_sysenv_share,sorting_reject_to_disposal_share,sorting_reject_to_sysenv_share
2011,tin,EU27,0.0177964005448526,0.8610839999999998,0.98665875,0.99,0.9789844781406438,0.6344000000000001,0.6025,0.98,0.02
2012,tin,EU27,0.0177141182196648,0.8610839999999998,0.98665875,0.99,0.979019005893302,0.6344000000000001,0.6025,0.98,0.02
2013,tin,EU27,0.0176513597786086,0.8610839999999998,0.98665875,0.99,0.9790441484176574,0.6344000000000001,0.6025,0.98,0.02
2014,tin,EU27,0.0176263854882805,0.8610839999999998,0.98665875,0.99,0.9790441484176574,0.6344000000000001,0.6025,0.98,0.02
2015,tin,EU27,0.017607897832092,0.8610839999999998,0.98665875,0.99,0.9790441484176574,0.6344000000000001,0.6025,0.98,0.02
2016,tin,EU27,0.0175614417250293,0.8610839999999998,0.98665875,0.99,0.98017257678868,0.6344000000000001,0.6025,0.98,0.02
2017,tin,EU27,0.0175005265324484,0.8610839999999998,0.98665875,0.99,0.98017257678868,0.6344000000000001,0.6025,0.98,0.02
2018,tin,EU27,0.0175005265324484,0.8610839999999998,0.98665875,0.99,0.9809544632337364,0.6344000000000001,0.6025,0.98,0.02
2019,tin,EU27,0.0174384234648724,0.8610839999999998,0.98665875,0.99,0.9826708231692636,0.6344000000000001,0.6025,0.98,0.02
2020,tin,EU27,0.0173880459734825,0.8610839999999998,0.98665875,0.99,0.983492559834404,0.6344000000000001,0.6025,0.98,0.02
2021,tin,EU27,0.0167064091718417,0.8610839999999998,0.98665875,0.99,0.983492559834404,0.6344000000000001,0.6025,0.98,0.02
2022,tin,EU27,0.0167064091718417,0.8610839999999998,0.98665875,0.99,0.983492559834404,0.6344000000000001,0.6025,0.98,0.02
2023,tin,EU27,0.0167064091718417,0.8610839999999998,0.98665875,0.99,0.983492559834404,0.6344000000000001,0.6025,0.98,0.02
2024,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2025,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2026,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2027,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2028,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2029,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2030,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2031,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2032,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2033,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2034,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2035,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2036,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2037,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2038,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2039,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2040,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2041,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2042,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2043,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2044,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2045,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2046,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2047,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2048,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2049,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2050,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2051,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2052,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2053,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2054,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2055,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2056,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2057,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2058,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2059,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2060,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2061,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2062,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2063,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2064,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2065,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2066,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2067,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2068,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2069,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2070,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2071,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2072,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2073,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2074,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2075,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2076,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2077,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2078,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2079,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2080,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2081,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2082,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2083,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2084,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2085,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2086,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2087,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2088,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2089,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2090,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2091,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2092,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2093,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2094,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2095,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2096,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2097,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2098,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2099,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
2100,tin,EU27,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1870,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1871,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1872,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1873,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1874,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1875,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1876,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1877,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1878,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1879,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1880,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1881,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1882,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1883,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1884,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1885,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1886,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1887,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1888,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1889,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1890,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1891,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1892,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1893,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1894,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1895,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1896,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1897,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1898,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1899,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1900,tin,RoW,0.0167064091718416,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1901,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1902,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1903,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1904,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1905,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1906,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1907,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1908,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1909,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1910,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1911,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1912,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1913,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1914,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1915,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1916,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1917,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1918,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1919,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1920,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1921,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1922,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1923,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1924,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1925,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1926,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1927,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1928,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1929,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1930,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1931,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1932,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1933,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1934,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1935,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1936,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1937,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1938,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1939,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1940,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1941,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1942,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1943,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1944,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1945,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1946,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1947,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1948,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1949,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1950,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1951,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1952,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1953,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1954,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1955,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1956,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1957,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1958,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1959,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1960,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1961,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1962,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1963,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1964,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1965,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1966,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1967,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1968,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1969,tin,RoW,0.0167064091718417,0.68487675,0.98264925,0.99,0.983492559834404,0.7040000000000001,0.6025,0.98,0.02
1970,tin,RoW,0.0172350793598437,0.68487675,0.98264925,0.99,0.983880187760297,0.7040000000000001,0.6025,0.98,0.02
1971,tin,RoW,0.0172350793598437,0.8610839999999998,0.98665875,0.9566383356041436,0.9839714397455944,0.6344000000000001,0.6025,0.98,0.02
1972,tin,RoW,0.0172350793598437,0.8610839999999998,0.98665875,0.95624459108611,0.9841343350027222,0.6344000000000001,0.6025,0.98,0.02
1973,tin,RoW,0.0172050900059548,0.8610839999999998,0.98665875,0.95624459108611,0.9841343350027222,0.6344000000000001,0.6025,0.98,0.02
1974,tin,RoW,0.0171759865278973,0.8610839999999998,0.98665875,0.95624459108611,0.9841491069462928,0.6344000000000001,0.6025,0.98,0.02
1975,tin,RoW,0.0171539960285596,0.8610839999999998,0.98665875,0.9566584605445406,0.9841875523191248,0.6344000000000001,0.6025,0.98,0.02
1976,tin,RoW,0.0171452934806723,0.8610839999999998,0.98665875,0.9638727958104588,0.9841875523191248,0.6344000000000001,0.6025,0.98,0.02
1977,tin,RoW,0.0171327559134985,0.8610839999999998,0.98665875,0.9758230008726254,0.9841798832556938,0.6344000000000001,0.6025,0.98,0.02
1978,tin,RoW,0.0171014920704725,0.8610839999999998,0.98665875,0.9814864529985132,0.9841798832556938,0.6344000000000001,0.6025,0.98,0.02
1979,tin,RoW,0.0170610192510646,0.8610839999999998,0.98665875,0.9858097579228062,0.9841798832556938,0.6344000000000001,0.6025,0.98,0.02
1980,tin,RoW,0.0170207375473334,0.8610839999999998,0.98665875,0.9858862139268578,0.9841798832556938,0.6344000000000001,0.6025,0.98,0.02
1981,tin,RoW,0.0169898808217625,0.8610839999999998,0.98665875,0.99,0.9842059271159378,0.6344000000000001,0.6025,0.98,0.02
1982,tin,RoW,0.0169775694351502,0.8610839999999998,0.98665875,0.99,0.984238764823936,0.6344000000000001,0.6025,0.98,0.02
1983,tin,RoW,0.016958551970973,0.8610839999999998,0.98665875,0.9858862139268578,0.9842797048943768,0.6344000000000001,0.6025,0.98,0.02
1984,tin,RoW,0.0169097029853253,0.8610839999999998,0.98665875,0.99,0.9844023550496795,0.6344000000000001,0.6025,0.98,0.02
1985,tin,RoW,0.0168433631607767,0.8610839999999998,0.98665875,0.99,0.9844216476944274,0.6344000000000001,0.6025,0.98,0.02
1986,tin,RoW,0.0167716724693192,0.8610839999999998,0.98665875,0.99,0.984538627964913,0.6344000000000001,0.6025,0.98,0.02
1987,tin,RoW,0.0167064091718417,0.8610839999999998,0.98665875,0.99,0.9846400678286724,0.6344000000000001,0.6025,0.98,0.02
1988,tin,RoW,0.0166589999480738,0.8610839999999998,0.98665875,0.99,0.9848294618626702,0.6344000000000001,0.6025,0.98,0.02
1989,tin,RoW,0.016640689095826,0.8610839999999998,0.98665875,0.99,0.98513147796321,0.6344000000000001,0.6025,0.98,0.02
1990,tin,RoW,0.0165905938861574,0.8610839999999998,0.98665875,0.99,0.98513147796321,0.6344000000000001,0.6025,0.98,0.02
