year,material,region,value
1966,nickel,EU27,95265.69394
1966,nickel,RoW,114918.7641
1967,nickel,China,91093.11451
1967,nickel,EU27,99154.08961
1967,nickel,RoW,119609.3259
1968,nickel,China,94811.20082
1968,nickel,EU27,103201.1953
1968,nickel,RoW,124491.3392
1969,nickel,China,98681.04575
1969,nickel,EU27,107413.489
1969,nickel,RoW,129572.6184
1970,nickel,China,102708.8435
1970,nickel,EU27,111797.713
1970,nickel,RoW,134861.2967
1971,nickel,China,106901.0412
1971,nickel,EU27,116360.885
1971,nickel,RoW,140365.8394
1972,nickel,China,111264.349
1972,nickel,EU27,121110.3089
1972,nickel,RoW,146095.0573
1973,nickel,China,115805.751
1973,nickel,EU27,126053.5868
1973,nickel,RoW,152058.1209
1974,nickel,China,120532.5164
1974,nickel,EU27,131198.6311
1974,nickel,RoW,158264.5748
1975,nickel,China,125452.2109
1975,nickel,EU27,136553.6773
1975,nickel,RoW,164724.3534
1976,nickel,China,130572.7093
1976,nickel,EU27,142127.2968
1976,nickel,RoW,171447.7964
1977,nickel,China,135902.2077
1977,nickel,EU27,147928.411
1977,nickel,RoW,178445.6656
1978,nickel,China,141449.2366
1978,nickel,EU27,153966.3053
1978,nickel,RoW,185729.1622
1979,nickel,China,147222.6748
1979,nickel,EU27,160250.6443
1979,nickel,RoW,193309.9443
1980,nickel,China,153231.7636
1980,nickel,EU27,166791.4869
1980,nickel,RoW,201200.1461
1981,nickel,China,159486.1213
1981,nickel,EU27,173599.3027
1981,nickel,RoW,209412.397
1982,nickel,China,165995.7589
1982,nickel,EU27,180684.9885
1982,nickel,RoW,217959.8417
1983,nickel,China,172771.096
1983,nickel,EU27,188059.886
1983,nickel,RoW,226856.1618
1984,nickel,China,179822.9774
1984,nickel,EU27,195735.7997
1984,nickel,RoW,236115.597
1985,nickel,China,187162.6908
1985,nickel,EU27,203725.016
1985,nickel,RoW,245752.9683
1986,nickel,China,194801.9843
1986,nickel,EU27,212040.3228
1986,nickel,RoW,255783.7017
1987,nickel,China,202753.0857
1987,nickel,EU27,220695.0299
1987,nickel,RoW,266223.8528
1988,nickel,China,211028.7218
1988,nickel,EU27,229702.9903
1988,nickel,RoW,277090.1325
1989,nickel,China,219642.1391
1989,nickel,EU27,239078.6225
1989,nickel,RoW,288399.9338
1990,nickel,China,228607.1243
1990,nickel,EU27,248836.9336
1990,nickel,RoW,300171.3597
1991,nickel,China,237938.0274
1991,nickel,EU27,258993.5432
1991,nickel,RoW,312423.2519
1992,nickel,China,247649.7836
1992,nickel,EU27,269564.7082
1992,nickel,RoW,325175.2214
1993,nickel,China,257757.938
1993,nickel,EU27,280567.3494
1993,nickel,RoW,338447.6794
1994,nickel,China,268278.6702
1994,nickel,EU27,292019.0779
1994,nickel,RoW,352261.8704
1995,nickel,China,279228.82
1995,nickel,EU27,303938.2239
1995,nickel,RoW,366639.9059
1996,nickel,China,265607.9019
1996,nickel,EU27,289111.9691
1996,nickel,RoW,348755.0324
1997,nickel,China,287997.286
1997,nickel,EU27,317027.027
1997,nickel,RoW,379531.6716
1998,nickel,China,283178.8862
1998,nickel,EU27,315243.2432
1998,nickel,RoW,374550.8435
1999,nickel,China,301873.5962
1999,nickel,EU27,339845.5598
1999,nickel,RoW,400751.8864
2000,nickel,China,313689.7426
2000,nickel,EU27,357127.4131
2000,nickel,RoW,417985.933
2001,nickel,China,305449.0872
2001,nickel,EU27,351660.2317
2001,nickel,RoW,408527.7468
2002,nickel,China,340386.742
2002,nickel,EU27,358702.7027
2002,nickel,RoW,436045.6904
2003,nickel,China,369910.0819
2003,nickel,EU27,356803.0888
2003,nickel,RoW,454754.0108
2004,nickel,China,393099.6948
2004,nickel,EU27,346934.3629
2004,nickel,RoW,464599.1469
2005,nickel,China,412969.209
2005,nickel,EU27,333243.2432
2005,nickel,RoW,470003.7639
2006,nickel,China,482180.4989
2006,nickel,EU27,355366.7954
2006,nickel,RoW,529248.0726
2007,nickel,China,470585.6924
2007,nickel,EU27,318857.1429
2007,nickel,RoW,496271.4505
2008,nickel,China,474416.5756
2008,nickel,EU27,295227.7992
2008,nickel,RoW,481320.8761
2009,nickel,China,472782.0654
2009,nickel,EU27,269837.8378
2009,nickel,RoW,462013.3014
2010,nickel,China,578003.6573
2010,nickel,EU27,302038.61
2010,nickel,RoW,544668.1573
2011,nickel,China,659933.4794
2011,nickel,EU27,315057.9151
2011,nickel,RoW,600298.1808
2012,nickel,China,705801.9209
2012,nickel,EU27,310308.8803
2012,nickel,RoW,617093.832
2013,nickel,China,778997.3293
2013,nickel,EU27,314826.2548
2013,nickel,RoW,655211.1649
2014,nickel,China,844633.1281
2014,nickel,EU27,313088.8031
2014,nickel,RoW,683976.9105
2015,nickel,China,868997.5453
2015,nickel,EU27,294671.8147
2015,nickel,RoW,678029.4818
2016,nickel,China,966404.1355
2016,nickel,EU27,298841.6988
2016,nickel,RoW,727032.158
2017,nickel,China,1084443.984
2017,nickel,EU27,303061.2245
2017,nickel,RoW,755351.9342
2018,nickel,China,1208807.831
2018,nickel,EU27,304699.3933
2018,nickel,RoW,779929.0696
2019,nickel,China,1301405.75
2019,nickel,EU27,295118.588
2019,nickel,RoW,777993.0363
2020,nickel,China,1331349.589
2020,nickel,EU27,272084.9421
2020,nickel,RoW,747916.8205
2021,nickel,China,1457187.538
2021,nickel,EU27,294125.7584
2021,nickel,RoW,993860.4485
2022,nickel,China,1667245.794
2022,nickel,EU27,288863.7617
2022,nickel,RoW,974392.3743
2023,nickel,China,1992162.162
2023,nickel,EU27,284594.5946
2023,nickel,RoW,885405.4054
2024,nickel,China,2080085.473
2024,nickel,EU27,297155.0676
2024,nickel,RoW,924482.4324
2025,nickel,China,2170089.171
2025,nickel,EU27,310012.7388
2025,nickel,RoW,964484.0761
2026,nickel,China,2262109.299
2026,nickel,EU27,323158.4712
2026,nickel,RoW,1005381.911
2027,nickel,China,2356073.839
2027,nickel,EU27,336581.977
2027,nickel,RoW,1047143.928
2028,nickel,China,2451902.611
2028,nickel,EU27,350271.8016
2028,nickel,RoW,1089734.494
2029,nickel,China,2549507.196
2029,nickel,EU27,364215.3137
2029,nickel,RoW,1133114.309
2030,nickel,China,2648790.89
2030,nickel,EU27,378398.6985
2030,nickel,RoW,1177240.395
2031,nickel,China,2749648.697
2031,nickel,EU27,392806.9567
2031,nickel,RoW,1222066.087
2032,nickel,China,2851967.355
2032,nickel,EU27,407423.9078
2032,nickel,RoW,1267541.047
2033,nickel,China,2955625.399
2033,nickel,EU27,422232.1999
2033,nickel,RoW,1313611.288
2034,nickel,China,3060493.262
2034,nickel,EU27,437213.3231
2034,nickel,RoW,1360219.227
2035,nickel,China,3166433.413
2035,nickel,EU27,452347.6305
2035,nickel,RoW,1407303.739
2036,nickel,China,3273300.541
2036,nickel,EU27,467614.363
2036,nickel,RoW,1454800.24
2037,nickel,China,3380941.77
2037,nickel,EU27,482991.6815
2037,nickel,RoW,1502640.787
2038,nickel,China,3489196.925
2038,nickel,EU27,498456.7036
2038,nickel,RoW,1550754.189
2039,nickel,China,3597898.829
2039,nickel,EU27,513985.547
2039,nickel,RoW,1599066.146
2040,nickel,China,3706873.649
2040,nickel,EU27,529553.3785
2040,nickel,RoW,1647499.4
2041,nickel,China,3815941.278
2041,nickel,EU27,545134.4683
2041,nickel,RoW,1695973.901
2042,nickel,China,3924915.755
2042,nickel,EU27,560702.2507
2042,nickel,RoW,1744407.002
2043,nickel,China,4033605.73
2043,nickel,EU27,576229.3899
2043,nickel,RoW,1792713.658
2044,nickel,China,4141814.96
2044,nickel,EU27,591687.8515
2044,nickel,RoW,1840806.649
2045,nickel,China,4249342.849
2045,nickel,EU27,607048.9784
2045,nickel,RoW,1888596.822
2046,nickel,China,4355985.011
2046,nickel,EU27,622283.5729
2046,nickel,RoW,1935993.338
2047,nickel,China,4461533.878
2047,nickel,EU27,637361.9826
2047,nickel,RoW,1982903.946
2048,nickel,China,4565779.333
2048,nickel,EU27,652254.1904
