year,material,region,value
1907,tin,RoW,10.04341713
1907,zinc,China,-1457.759734
1983,nickel,EU27,222.6608659
1907,zinc,RoW,462.5371808
1908,nickel,China,-5.088428931
1984,nickel,EU27,222.6608659
1908,nickel,RoW,-217.572437
1908,tin,China,-64.39403872
1985,nickel,EU27,222.6608659
1908,tin,RoW,9.925105298
1908,zinc,China,-1472.680061
1986,nickel,EU27,222.6608659
1908,zinc,RoW,476.824765
1909,nickel,China,-5.088428931
1987,nickel,EU27,222.6608659
1909,nickel,RoW,-217.572437
1909,tin,China,-64.39403872
1988,nickel,EU27,222.6608659
1909,tin,RoW,9.804279909
1909,zinc,China,-1487.645089
1989,nickel,EU27,222.6608659
1909,zinc,RoW,491.1367967
1910,nickel,China,-5.088428931
1990,nickel,EU27,222.6608659
1910,nickel,RoW,-217.572437
1910,tin,China,-64.39403872
1991,nickel,EU27,222.6608659
1910,tin,RoW,9.680895387
1910,zinc,China,-1502.646516
1992,nickel,EU27,222.6608659
1910,zinc,RoW,505.4643219
1911,nickel,China,-5.088428931
1993,nickel,EU27,222.6608659
1911,nickel,RoW,-217.572437
1911,tin,China,-64.39403872
1994,nickel,EU27,222.6608659
1911,tin,RoW,9.554905911
1911,zinc,China,-1517.675501
1995,nickel,EU27,222.6608659
1911,zinc,RoW,519.7978235
1912,nickel,China,-5.088428931
1996,nickel,EU27,157.2207974
1912,nickel,RoW,-217.572437
1912,tin,China,-64.39403872
1997,nickel,EU27,190.4041871
1912,tin,RoW,9.426265458
1912,zinc,China,-1532.722635
1998,nickel,EU27,237.3363596
1912,zinc,RoW,534.1271961
1913,nickel,China,-5.088428931
1999,nickel,EU27,236.2524995
1913,nickel,RoW,-217.572437
1913,tin,China,-64.39403872
2000,nickel,EU27,277.4039069
1913,tin,RoW,9.294927856
1913,zinc,China,-1547.777919
2001,nickel,EU27,346.6472007
1913,zinc,RoW,548.4417199
1914,nickel,China,-5.088428931
2002,nickel,EU27,411.0315632
1914,nickel,RoW,-217.572437
1914,tin,China,-64.39403872
2003,nickel,EU27,353.1800255
1914,tin,RoW,9.16084684
1914,zinc,China,-1562.830737
2004,nickel,EU27,352.063894
1914,zinc,RoW,562.7300345
1915,nickel,China,-5.088428931
2005,nickel,EU27,363.2276228
1915,nickel,RoW,-217.572437
1915,tin,China,-64.39403872
2006,nickel,EU27,333.7010297
1915,tin,RoW,9.023976122
1915,zinc,China,-1577.869829
2007,nickel,EU27,360.1962238
1915,zinc,RoW,576.9801117
1916,nickel,China,-5.088428931
2008,nickel,EU27,389.1218149
1916,nickel,RoW,-217.572437
1916,tin,China,-64.39403872
2009,nickel,EU27,301.4944272
1916,tin,RoW,8.88426945
1916,zinc,China,-1592.883266
2010,nickel,EU27,368.3734221
1916,zinc,RoW,591.1792282
1917,nickel,China,-5.088428931
2011,nickel,EU27,254.9571797
1917,nickel,RoW,-217.572437
1917,tin,China,-64.39403872
2012,nickel,EU27,251.7329685
1917,tin,RoW,8.741680693
1917,zinc,China,-1607.858422
2013,nickel,EU27,236.5727448
1917,zinc,RoW,605.313937
1918,nickel,China,-5.088428931
2014,nickel,EU27,222.0283965
1918,nickel,RoW,-217.572437
1918,tin,China,-64.39403872
2015,nickel,EU27,233.8615245
1918,tin,RoW,8.59616392
1918,zinc,China,-1622.781944
2016,nickel,EU27,242.5378505
1918,zinc,RoW,619.3700394
1919,nickel,China,-5.088428931
2017,nickel,EU27,229.8154888
1919,nickel,RoW,-217.572437
1919,tin,China,-64.39403872
2018,nickel,EU27,279.6010515
1919,tin,RoW,8.447673489
1919,zinc,China,-1637.639729
2019,nickel,EU27,222.5609822
1919,zinc,RoW,633.3325559
1920,nickel,China,-5.088428931
2020,nickel,EU27,171.5635442
1920,nickel,RoW,-217.572437
1920,tin,China,-64.39403872
2021,nickel,EU27,164.0183153
1920,tin,RoW,8.296164149
1920,zinc,China,-1652.416892
2022,nickel,EU27,118.8073467
1920,zinc,RoW,647.1856972
1921,nickel,China,-5.088428931
2023,nickel,EU27,196.7551161
1921,nickel,RoW,-217.572437
1921,tin,China,-64.39403872
2024,nickel,EU27,178.3032823
1921,tin,RoW,8.14159114
1921,zinc,China,-1667.097739
2025,nickel,EU27,178.3032823
1921,zinc,RoW,660.9128344
1922,nickel,China,-5.088428931
2026,nickel,EU27,178.3032823
1922,nickel,RoW,-217.572437
1922,tin,China,-64.39403872
2027,nickel,EU27,178.3032823
1922,tin,RoW,7.983910316
1922,zinc,China,-1681.665738
2028,nickel,EU27,178.3032823
1922,zinc,RoW,674.49647
1923,nickel,China,-5.088428931
2029,nickel,EU27,178.3032823
1923,nickel,RoW,-217.572437
1923,tin,China,-64.39403872
2030,nickel,EU27,178.3032823
1923,tin,RoW,7.823078265
1923,zinc,China,-1696.103491
2031,nickel,EU27,178.3032823
1923,zinc,RoW,687.9182085
1924,nickel,China,-5.088428931
2032,nickel,EU27,178.3032823
1924,nickel,RoW,-217.572437
1924,tin,China,-64.39403872
2033,nickel,EU27,178.3032823
1924,tin,RoW,7.659052449
1924,zinc,China,-1710.392707
2034,nickel,EU27,178.3032823
1924,zinc,RoW,701.1587267
1925,nickel,China,-5.088428931
2035,nickel,EU27,178.3032823
1925,nickel,RoW,-217.572437
1925,tin,China,-64.39403872
2036,nickel,EU27,178.3032823
1925,tin,RoW,7.491791346
1925,zinc,China,-1724.514171
2037,nickel,EU27,178.3032823
1925,zinc,RoW,714.1977449
1926,nickel,China,-5.088428931
2038,nickel,EU27,178.3032823
1926,nickel,RoW,-217.572437
1926,tin,China,-64.39403872
2039,nickel,EU27,178.3032823
1926,tin,RoW,7.321254616
1926,zinc,China,-1738.447721
2040,nickel,EU27,178.3032823
1926,zinc,RoW,727.0139985
1927,nickel,China,-5.088428931
2041,nickel,EU27,178.3032823
1927,nickel,RoW,-217.572437
1927,tin,China,-64.39403872
2042,nickel,EU27,178.3032823
1927,tin,RoW,7.147403268
1927,zinc,China,-1752.172216
2043,nickel,EU27,178.3032823
1927,zinc,RoW,739.5852099
1928,nickel,China,-5.088428931
2044,nickel,EU27,178.3032823
1928,nickel,RoW,-217.572437
1928,tin,China,-64.39403872
2045,nickel,EU27,178.3032823
1928,tin,RoW,6.970199849
1928,zinc,China,-1765.665517
2046,nickel,EU27,178.3032823
1928,zinc,RoW,751.8880611
1929,nickel,China,-5.088428931
2047,nickel,EU27,178.3032823
1929,nickel,RoW,-217.572437
1929,tin,China,-64.39403872
2048,nickel,EU27,178.3032823
1929,tin,RoW,6.789608647
1929,zinc,China,-1778.904454
2049,nickel,EU27,178.3032823
1929,zinc,RoW,763.898168
1930,nickel,China,-5.088428931
2050,nickel,EU27,178.3032823
1930,nickel,RoW,-217.572437
1930,tin,China,-64.39403872
2051,nickel,EU27,178.3032823
1930,tin,RoW,6.605595901
1930,zinc,China,-1791.864809
2052,nickel,EU27,178.3032823
1930,zinc,RoW,775.5900553
1931,nickel,China,-5.088428931
2053,nickel,EU27,178.3032823
1931,nickel,RoW,-217.572437
1931,tin,China,-64.39403872
2054,nickel,EU27,178.3032823
1931,tin,RoW,6.418130046
1931,zinc,China,-1804.521293
2055,nickel,EU27,178.3032823
1931,zinc,RoW,786.9371327
1932,nickel,China,-5.088428931
2056,nickel,EU27,178.3032823
1932,nickel,RoW,-217.572437
1932,tin,China,-64.39403872
2057,nickel,EU27,178.3032823
1932,tin,RoW,6.227181955
1932,zinc,China,-1816.847522
2058,nickel,EU27,178.3032823
1932,zinc,RoW,797.9116736
1933,nickel,China,-5.088428931
2059,nickel,EU27,178.3032823
1933,nickel,RoW,-217.572437
1933,tin,China,-64.39403872
2060,nickel,EU27,178.3032823
1933,tin,RoW,6.032725221
1933,zinc,China,-1828.816003
2061,nickel,EU27,178.3032823
1933,zinc,RoW,808.4847953
1934,nickel,China,-5.088428931
2062,nickel,EU27,178.3032823
1934,nickel,RoW,-217.572437
1934,tin,China,-64.39403872
2063,nickel,EU27,178.3032823
1934,tin,RoW,5.834736444
1934,zinc,China,-1840.398116
2064,nickel,EU27,178.3032823
1934,zinc,RoW,818.6264411
1935,nickel,China,-5.088428931
2065,nickel,EU27,178.3032823
1935,nickel,RoW,-217.572437
1935,tin,China,-64.39403872
2066,nickel,EU27,178.3032823
1935,tin,RoW,5.633195547
1935,zinc,China,-1851.5641
2067,nickel,EU27,178.3032823
1935,zinc,RoW,828.305366
1936,nickel,China,-5.088428931
2068,nickel,EU27,178.3032823
1936,nickel,RoW,-217.572437
1936,tin,China,-64.39403872
2069,nickel,EU27,178.3032823
1936,tin,RoW,5.428086122
1936,zinc,China,-1862.283047
2070,nickel,EU27,178.3032823
1936,zinc,RoW,837.4891245
1937,nickel,China,-5.088428931
2071,nickel,EU27,178.3032823
1937,nickel,RoW,-217.572437
1937,tin,China,-64.39403872
2072,nickel,EU27,178.3032823
1937,tin,RoW,5.219395788
1937,zinc,China,-1872.522891
2073,nickel,EU27,178.3032823
1937,zinc,RoW,846.1440623
1938,nickel,China,-5.088428931
2074,nickel,EU27,178.3032823
1938,nickel,RoW,-217.572437
1938,tin,China,-64.39403872
2075,nickel,EU27,178.3032823
1938,tin,RoW,5.007116591
1938,zinc,China,-1882.250406
2076,nickel,EU27,178.3032823
1938,zinc,RoW,854.235311
1939,nickel,China,-5.088428931
2077,nickel,EU27,178.3032823
1939,nickel,RoW,-217.572437
1939,tin,China,-64.39403872
2078,nickel,EU27,178.3032823
1939,tin,RoW,4.791245421
1939,zinc,China,-1891.431208
2079,nickel,EU27,178.3032823
1939,zinc,RoW,861.7267875
1940,nickel,China,-5.088428931
2080,nickel,EU27,178.3032823
1940,nickel,RoW,-217.572437
1940,tin,China,-64.39403872
2081,nickel,EU27,178.3032823
1940,tin,RoW,4.57178447
1940,zinc,China,-1900.029763
2082,nickel,EU27,178.3032823
1940,zinc,RoW,868.5811979
1941,nickel,China,-5.088428931
2083,nickel,EU27,178.3032823
1941,nickel,RoW,-217.572437
1941,tin,China,-64.39403872
2084,nickel,EU27,178.3032823
1941,tin,RoW,4.348741719
1941,zinc,China,-1908.009391
2085,nickel,EU27,178.3032823
1941,zinc,RoW,874.7600456
1942,nickel,China,-5.088428931
2086,nickel,EU27,178.3032823
1942,nickel,RoW,-217.572437
1942,tin,China,-64.39403872
2087,nickel,EU27,178.3032823
1942,tin,RoW,4.12213146
1942,zinc,China,-1915.332289
2088,nickel,EU27,178.3032823
1942,zinc,RoW,880.2236457
1943,nickel,China,-5.088428931
2089,nickel,EU27,178.3032823
1943,nickel,RoW,-217.572437
1943,tin,China,-64.39403872
2090,nickel,EU27,178.3032823
1943,tin,RoW,3.891974859
1943,zinc,China,-1921.959549
2091,nickel,EU27,178.3032823
1943,zinc,RoW,884.9311445
1944,nickel,China,-5.088428931
2092,nickel,EU27,178.3032823
1944,nickel,RoW,-217.572437
1944,tin,China,-64.39403872
2093,nickel,EU27,178.3032823
1944,tin,RoW,3.658300558
1944,zinc,China,-1927.85119
2094,nickel,EU27,178.3032823
1944,zinc,RoW,888.8405454
1945,nickel,China,-5.088428931
2095,nickel,EU27,178.3032823
1945,nickel,RoW,-217.572437
1945,tin,China,-64.39403872
2096,nickel,EU27,178.3032823
1945,tin,RoW,3.421145319
1945,zinc,China,-1932.966188
2097,nickel,EU27,178.3032823
1945,zinc,RoW,891.9087417
1946,nickel,China,-5.088428931
2098,nickel,EU27,178.3032823
1946,nickel,RoW,-217.572437
1946,tin,China,-64.39403872
2099,nickel,EU27,178.3032823
1946,tin,RoW,3.18055472
1946,zinc,China,-1937.262523
2100,nickel,EU27,178.3032823
1946,zinc,RoW,894.0915566
1947,nickel,China,-5.088428931
1870,tin,EU27,51.36573503
1947,nickel,RoW,-217.572437
1947,tin,China,-64.39403872
1871,tin,EU27,51.41868142
1947,tin,RoW,2.936583891
1947,zinc,China,-1940.697227
1872,tin,EU27,51.47281141
1947,zinc,RoW,895.3437903
1948,nickel,China,-5.088428931
1873,tin,EU27,51.52815085
1948,nickel,RoW,-217.572437
1948,tin,China,-64.39403872
1874,tin,EU27,51.58472613
1948,tin,RoW,2.689298313
1948,zinc,China,-1943.226443
1875,tin,EU27,51.64256414
1948,zinc,RoW,895.619276
1949,nickel,China,-5.088428931
1876,tin,EU27,51.70169232
1949,nickel,RoW,-217.572437
1949,tin,China,-64.39403872
